,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value
movie_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
user_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4.0,,,,,,,,4.0,,,,5.0,4.0,,,,,,,,,,,,4.0,,4.0,,,,,,
2,5.0,5.0,,,,,,,,,,,,4.0,4.0,,,,,,5.0,,,,,,,,,,3.0,,,4.0
3,4.0,4.0,5.0,,,,,,,,,,5.0,,,,,,,,,3.0,3.0,,,,,,,,,,,
4,5.0,5.0,,5.0,5.0,,,,,,,,5.0,,,,,,,,,,,5.0,,,,,,,,,,
5,5.0,,,,,,,,5.0,,,,,,,,,,5.0,,4.0,,,,,,,,3.0,,3.0,2.0,5.0,5.0
6,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,4.0,3.0
7,5.0,,,2.0,,,,,,,,5.0,5.0,,,5.0,,,,,,5.0,5.0,,,,,,,,,,,4.0
8,4.0,,5.0,,,,,,,5.0,,,,5.0,,,,,,,,,3.0,,,,5.0,5.0,,,,,,
9,5.0,,5.0,,,,,,,,,,5.0,,,5.0,,,,,,,,,,,,5.0,4.0,,,,,
10,4.0,,4.0,,,,,4.0,,,,,5.0,,5.0,,,,,,,4.0,5.0,,,,,,5.0,,,,,
11,5.0,4.0,5.0,,,,,,,,,,,5.0,,4.0,,,,,,,,,,,,,,,,,,3.0
12,5.0,,5.0,,,,,5.0,,,,,,3.0,5.0,,,,,,,,5.0,,,,,,,,,,,
13,4.0,,,,,,5.0,,,,,,4.0,,4.0,,,,,,,4.0,3.0,,,,,,,,,,,
14,5.0,4.0,5.0,,5.0,,,,,,,,5.0,,,,,,,,,,,5.0,,,,,,,,,,
15,5.0,,5.0,5.0,,,,,,,,,5.0,4.0,,,,,,,,,,,,,,5.0,,,,,,
16,4.0,,4.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,5.0,,5.0,5.0,4.0
17,4.0,4.0,4.0,,5.0,,,,,,,,4.0,,,,,,,,,,,4.0,,,,,,,,,,
18,5.0,,5.0,,,,,,,,,,5.0,5.0,,,,,,,5.0,,,,5.0,,,,,,,,,
19,,5.0,,,,5.0,,,5.0,,,,,,5.0,4.0,,,,,5.0,5.0,3.0,5.0,5.0,,,,,,,,,
20,,5.0,,,5.0,,,,,,,,,4.0,,,,,,,,,4.0,5.0,,,,,,,3.0,,4.0,5.0
21,,4.0,,,3.0,,,3.0,,,4.0,,3.0,,,,,,,2.0,3.0,,,3.0,,4.0,,4.0,1.0,,,1.0,,
22,,4.0,,,,,4.0,,4.0,,,,,,,,,,3.0,,,5.0,,5.0,,,,,,,,,,
23,,4.0,,,,,,,,,,,,5.0,,,,,,,,,,,4.0,,,,4.0,,5.0,4.0,3.0,5.0
24,,5.0,,,5.0,,,,,5.0,,,,,5.0,,,,,,,,5.0,5.0,,,5.0,,,,,,,
25,,5.0,4.0,,,,,,,5.0,,,4.0,,,,,,,,,,,5.0,,,5.0,,,,,,,
26,,5.0,,,5.0,5.0,,5.0,,5.0,,,,,,,,,,,,5.0,,5.0,,,5.0,,,,,,,
27,,5.0,,,5.0,,,,,,5.0,,,,,,,,,,,,,5.0,,5.0,,,,,,,,5.0
28,,5.0,,,,,,,,,,,,5.0,,,,,,,,,,5.0,5.0,,5.0,5.0,,,,,,
29,,5.0,,,5.0,,,,,,,,5.0,5.0,,5.0,,,,,,,,5.0,,,,,,,,,,
30,,,5.0,,5.0,,,,,5.0,,,3.0,4.0,,,,,,,4.0,3.0,,4.0,,,4.0,5.0,,,,,,
31,,,5.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,5.0,4.0,,2.0,,4.0,5.0
32,,,5.0,5.0,,,,,,,,,5.0,,,,,,,,4.0,4.0,,4.0,,,,,,,,,,
33,,,5.0,,,5.0,5.0,5.0,,,,,5.0,,,,,,,,,,4.0,,,,,,,,,,,
34,,,5.0,,,,,,5.0,5.0,,,5.0,,,4.0,,,,,,,,,3.0,,,5.0,,,,,,
35,,,5.0,,,,,,,5.0,4.0,5.0,5.0,5.0,,5.0,,,,,,,,,5.0,5.0,4.0,5.0,,5.0,,2.0,,
36,,,5.0,,,,,,,,,,,,,,,1.0,,,,,5.0,5.0,,,,,,,1.0,,,5.0
37,,,5.0,,,,,5.0,,5.0,5.0,4.0,,,,5.0,,,,,,,,,,5.0,,,,,,,,
38,,,5.0,,5.0,4.0,,,,,,,4.0,,,,,,,,5.0,,,4.0,,,,4.0,,,,,,
39,,,5.0,,,,,5.0,5.0,5.0,4.0,,5.0,,,,,,,,,4.0,,,5.0,5.0,,,,,,,,
40,,,,5.0,,,4.0,5.0,,,5.0,,,,2.0,,,,,,,,5.0,,,,,,,,,,,
41,,,,5.0,5.0,5.0,,,,,,,5.0,,4.0,,,,,,4.0,,3.0,,,,,,,,,,,
42,,,,4.0,,,,,,,,,,,,,,5.0,,3.0,5.0,,,,,,,,,,2.0,,4.0,
43,,,,,4.0,,,,,,4.0,,5.0,5.0,,,,,,,,,,,,,4.0,4.0,,,,,,
44,,,,,5.0,,4.0,,,,,,,,,,,,,3.0,5.0,,2.0,5.0,,,,,,,,,,
45,,,,,,5.0,2.0,5.0,,,,,,,5.0,,,,,,,,3.0,,,,,,5.0,,,,,
46,,,,,,5.0,,,5.0,5.0,,,,,,5.0,,,,,,5.0,,,5.0,,,,,,,,,
47,,,,,,5.0,,,,5.0,,,5.0,,,,,,,,,5.0,,,4.0,,,,,,,,4.0,
48,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,5.0,,4.0,4.0,4.0,4.0
49,,,,,,5.0,,,,,,,5.0,,,,,,,,,,,,,,,,3.0,,,5.0,5.0,5.0
50,,,,,,,,,5.0,5.0,,,5.0,,,,,,,,,3.0,,,5.0,,5.0,,,,,,,
51,,,,,,,,,4.0,4.0,,,5.0,4.0,,,,,,,,4.0,,,4.0,,3.0,4.0,,,,,,
