,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value
movie_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
user_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4.003191844274861,3.920303637037131,4.155777250729998,3.5276757394678047,3.9204937470481,4.143390110294659,2.6556296527653833,4.067049835598356,4.010432566125358,3.8057784632066904,3.5365959897577586,3.5596077648709783,4.96011073928584,3.9993516708409778,3.2665475436278797,3.887777890114603,2.3634653726839923,3.1496280124512515,4.109774476662027,3.403689427310598,4.011633290915177,3.6098248127872052,3.4819905546817695,3.7985125521417116,3.7971446520201635,3.9845705879078417,3.3310727783254586,3.990534269759755,3.4575811708140978,3.1048556316191727,2.72067745446338,3.352793564420643,3.0425134707362163,4.565993114516128
2,4.97069149019964,4.967993436826969,4.445573535018678,3.903082580444885,4.8320882024723915,4.7061592444734925,3.393664744761324,4.699088894483566,4.532258874607629,4.837698322594171,3.9618214486935788,4.067410365516762,4.775212646014549,4.01289857005154,3.9985059923094575,4.217459996477993,2.5230102740309057,3.54321111701434,4.198076678750245,4.397675303412294,4.993930584672503,4.573601755659391,3.822628661822457,4.732591449769893,4.314567879363603,4.494122252178661,4.414893828864013,4.164690454129658,3.462866825989817,4.390819551684933,2.9943180069795137,4.34690203990343,4.012564288612127,3.9994301712333256
3,4.017202005038899,3.9856859756875918,4.955732897602399,4.088439189021037,4.52867723324051,4.271289501366264,2.818482613567978,4.338413585370264,4.491351178858308,4.368009471348997,3.725265319560697,3.5316929705100346,4.96490347452268,4.196325506072199,3.4437436136920967,3.621971792301078,2.7259034099406403,3.4183181690758366,4.209076178123032,3.5014855305245263,4.4401890440798555,3.010956754701303,3.0160109328991833,3.8631854067737765,4.081109109095344,4.317240513139737,3.8805249294213677,4.474596828010673,3.2063911606475353,3.2349943901607148,2.2282161967672938,2.5872723220358194,3.445733772886711,4.5943756494439345
4,4.991058749469764,4.987271365209664,4.929477638987005,4.961956654290135,5.010580660078908,4.961481990114263,3.9440054988000397,5.076369411633334,4.952373172607471,5.017442742141815,4.511717638287742,3.8226365744610455,5.000351150060404,4.204000701303552,3.5828852266402116,4.37231299317419,3.1151956396630394,3.5414599748478115,4.341361288904092,3.9815186833032707,4.7216219169542875,4.591416277267996,3.598908098286553,4.979612061491158,4.062624962685768,4.741976301585421,4.503396436923348,4.906978175002985,3.117070056160137,3.4153113274350777,2.005981862482395,4.223406470849392,4.171958940753162,4.644072184737614
5,4.980600951709971,4.240484435517225,5.461771293663899,4.3726687183237365,5.16477238324703,4.553526396128262,3.1549313193672273,4.636240748959246,4.982077679688879,4.920488519632633,4.143802471947614,4.107810964514635,4.9650634699902145,4.6788298879496555,3.290947934060676,4.270663000749074,3.023350542509612,3.437137262313019,4.969739033676462,3.390592549257782,3.9950488352820477,3.4887925866243386,3.108892501982343,4.433597330679417,4.5045396583367,4.722467185419813,3.7370266082348964,5.075913245355333,3.017257682751609,3.6114673930844754,2.996275426700779,2.0318053325916883,4.9807548130221795,4.987324116548054
6,4.970656115923318,4.964549632571291,4.169840204811703,3.8784936320719563,4.506641942159079,4.541497481192099,3.5530700393116534,4.708581219404207,4.2874514025045,4.623760415897796,3.8845152089892836,3.78786015822791,4.321371459287659,3.6317599771745224,3.906158618539657,4.0996901742948895,2.5479339979840256,3.086221280886411,3.7360311077611588,4.183272782589553,4.887642933448817,4.814700196700394,3.9074041513835467,4.8461529571982735,4.015568708684334,4.2181997463318375,4.73391069442652,3.838844153759832,3.4763274197458918,3.8128104552069777,2.0107230239640637,4.979291918939962,4.0016856761973045,3.0166741472558094
7,4.978857892400286,4.184553937706087,4.2198826721235925,2.041108995139536,4.145963099731399,4.239384345660194,2.8288081710466497,4.041237594703068,4.001497031614703,4.114848613615434,3.326891810935819,4.967687506381332,4.988580189883664,4.913485410167823,4.0408755684780555,4.983493519163872,2.1546566373124074,2.9394774424928465,4.258849409798572,4.517441913115558,4.619149395228738,4.9959320460336905,4.9816073621886,4.69307161263651,4.547428573109129,3.987217126768396,3.7965875362234005,3.6677824226031284,5.168081337639769,4.4446603308920425,4.288079128876958,4.518068906252096,4.583821468983523,4.002957771236894
8,4.033184401183774,4.611198978450073,4.988326067974711,4.093831077537645,4.812567049171782,4.380073984127361,3.452996195528238,4.4570205439999935,4.893595015797509,5.002089530711461,4.2612008330074165,4.0297376708067345,4.414965631007394,4.98475783072473,3.481994313058422,4.048049002511951,3.3185643393367803,4.060094025084295,3.668746567938048,3.9404287566947627,5.039742082989801,3.6352023170313448,3.0011863308102518,4.479884425117722,4.267327537368809,4.697549852949625,4.961266515879842,4.964576035426077,3.4016784176100954,3.474879056698211,2.0976978597071216,3.1553514734080057,3.7960493019371606,4.456116721738145
9,4.985860625480423,4.640454560818953,4.999135268983188,4.143034888699209,4.871317700065637,4.667852190730053,3.407289978423436,4.796254709757901,4.769561917007625,4.763090407100088,4.352223399868519,4.289952154230027,4.999044608117502,4.868114334303461,3.362226388235461,4.977766807469506,2.9894495800830976,3.4540441982451258,4.367923684420115,3.59003148181702,4.595397210301495,4.565517699118945,3.9729995191360756,4.753353109098262,4.4208901464747345,4.7431269895156,4.053769931342955,4.974983046776771,3.9982927014701946,3.4483345198581032,2.613240145535001,3.7355347034611173,4.461325911119753,4.891519087199916
10,4.009601985204365,3.9845142991314484,4.00059306641526,2.5242845214557637,3.9242930983853794,4.251729516095493,2.778333106762311,4.018308638567227,4.00764818204075,3.9033192955845446,2.511076340901484,4.011395081887957,4.990411888471534,3.0191400100782464,4.9508454197879725,3.5497174128303963,2.926712084701801,2.7903973660029733,4.509226842265097,5.079784428243582,3.978507336429928,4.001612817195289,4.960474477962954,4.03721132545595,3.644923771072859,3.5720188187894326,3.8975717349412076,3.207310038559877,4.997905065161621,5.323487486443779,2.9670699313368245,4.6558420298643455,3.302566912180649,4.017823569821541
